word,pos
경선,명사
경솔하다,형용사
경수,명사
경수로,명사
경시,명사
경시하다,동사
경신,명사
경신하다,동사
경악,명사
경악하다,동사
경애하다,동사
경연대회,명사
경영,명사
경영권,명사
경영난,명사
경영자,명사
경영진,명사
경영하다,동사
경영학,명사
경우,명사
경운기,명사
경위,명사
경유,명사
경유하다,동사
경의,명사
경이롭다,형용사
경이적,명사
경인선,명사
경작,명사
경작되다,동사
경작지,명사
경작하다,동사
경쟁,명사
경쟁력,명사
경쟁률,명사
경쟁사,명사
경쟁자,명사
경쟁적,명사
경쟁하다,동사
경전,명사
경제,명사
경제개발,명사
경제계,명사
경제권,명사
경제난,명사
경제력,명사
경제론,명사
경제발전,명사
경제성,명사
경제성장,명사
경제성장률,명사
경제용어,명사
경제위기,명사
경제위축,명사
경제인,명사
경제적,명사
경제정책,명사
경제지표,명사
경제학,명사
경제학자,명사
경조사,명사
경종,명사
경주,명사
경주마,명사
경주하다,동사
경지,명사
경직,명사
경직되다,동사
경진대회,명사
경질,명사
경질되다,동사
경질하다,동사
경차,명사
경찰,명사
경찰관,명사
경찰관직무집행법,명사
경찰력,명사
경찰서,명사
경찰차,명사
경첩,명사
경청하다,동사
경축사,명사
경축하다,동사
경치,명사
경칩,명사
경쾌하다,형용사
경통,명사
경품,명사
경합,명사
경행하다,동사
경향,명사
경험,명사
경험담,명사
경험자,명사
경험적,명사
경험치,명사
경험하다,동사
경호,명사
경호원,명사
경호하다,동사
곁,명사
곁눈질,명사
곁다리,명사
곁들이다,동사
계,명사
계곡,명사
계곡물,명사
계급,명사
계급장,명사
계급제,명사
계급제도,명사
계기,명사
계기판,명사
계단,명사
계란,명사
계란찜,명사
계략,명사
계량기,명사
계류,명사
계륵,명사
계모,명사
계몽,명사
계몽주의,명사
계몽하다,동사
계발,명사
계발되다,동사
계발하다,동사
계보,명사
계부,명사
계산,명사
계산기,명사
계산대,명사
계산되다,동사
계산서,명사
계산하다,동사
계속,부사
계속되다,동사
계속적,명사
계속하다,동사
계수나무,명사
계수나무,명사
계승,명사
계승되다,동사
계승자,명사
계승하다,동사
계시,명사
계시다,동사
계시록,명사
계약,명사
계약금,명사
계약서,명사
계약하다,동사
계엄,명사
계엄령,명사
계열,명사
계열사,명사
계열회사,명사
계원,명사
계율,명사
계장,명사
계절,명사
계절성,명사
계절적,명사
계정,명사
계좌,명사
계좌번호,명사
계주,명사
계집,명사
계집년,명사
계집아이,명사
계집애,명사
계집질,명사
계책,명사
계측,명사
계측하다,동사
계층,명사
계통,명사
계파,명사
계피,명사
계획,명사
계획되다,동사
계획적,명사
계획적,명사
계획하다,동사
곗돈,명사
고가,명사
고갈,명사
고감도,명사
고강도,명사
고개,명사
고객,명사
고객센터,명사
고갯길,명사
고갯마루,명사
고것,대명사
고견,명사
고결하다,형용사
고고하다,형용사
고고학,명사
고공,명사
고교,명사
고교생,명사
고구려,명사
고구마,명사
고국,명사
고국원왕,명사
고국천왕,명사
고군분투,명사
고군분투하다,동사
고궁,명사
고귀하다,형용사
고글,명사
